death_id,username,player_name,rank,cause_of_death,brute_damage,brain_damage,fire_damage,oxy_damage,tox_damage,clone_damage,stamina_damage,murder_suspect_username,murder_suspect_player_name

149,Ryan Riley,lock1000,"Bartender 
                Blood",Suffocation,99,0,0,117,0,0,0,Ryan Riley,lock1000

143,Dazza Krist,cheapchrome,Chief Engineer,Blunt-Force Trauma,126,4,5,47,8,25,0,Bizarre Bottle,birdty

156,Mendelevium LXXII,thelaughingbomb,Cargo Technician,Poisoning,29,0,0,26,159,0,0,,

155,Ryan Riley,lock1000,Lawyer,Blunt-Force Trauma,55,0,0,0,0,0,0,Ryan Riley,lock1000

146,Cormac Huxley,laketrash,Captain,Severe Burns,55,0,150,22,0,0,0,Silence,dawson1917

158,Johnny D'Bobby,billybobbizworth,Janitor,Blunt-Force Trauma,104,0,32,82,0,0,0,Johnny D'Bobby,billybobbizworth

147,Milo Jowers,theinvictus,Lawyer,Suffocation,28,0,6,167,0,0,0,,

151,Dawson Kopper,dawson1917,Bartender,Blunt-Force Trauma,223,44,0,1,0,0,0,Ryan Riley,lock1000

157,Lorenzo Baskett,byzantion,Shaft Miner,Poisoning,23,0,0,45,137,0,0,,

144,Delma Harris,msflatgub,Station Engineer,Blunt-Force Trauma,125,0,44,54,1,0,0,Delma Harris,msflatgub

152,Cormac Huxley,laketrash,Cargo Technician,Poisoning,41,0,0,42,125,0,0,,

153,Dawson Kopper,dawson1917,Bartender,Blunt-Force Trauma,133,85,0,18,0,0,0,Ryan Riley,lock1000

145,Bizarre Bottle,birdty,Clown,Severe Burns,72,0,133,29,0,0,0,Bizarre Bottle,birdty

154,Dawson Kopper,dawson1917,Bartender,Blunt-Force Trauma,133,85,0,18,0,0,0,Ryan Riley,lock1000

159,Yanky Stoopenstash,birdty,Clown,Blunt-Force Trauma,124,0,52,49,0,0,0,Jeb Hutton,wondercaz

160,Nataly Briner,gamebars,Station Engineer,Blunt-Force Trauma,37,0,0,0,0,0,0,Terra Andedare,mcterra

161,Terra Andedare,mcterra,Captain,Blunt-Force Trauma,210,34,0,8,0,0,52,Lorde Gardner,russofromkarabach

162,C127,lock1000,Cyborg,Suffocation,20,0,0,180,0,0,0,C127,lock1000

164,Antarctica Libraria,tapiocasquid,Security Officer,Blunt-Force Trauma,211,28,0,3,0,0,0,Jonathan Ahmed,gaper

170,Dawson Kopper,dawson1917,Bartender,Blunt-Force Trauma,215,0,0,1,0,0,0,Standard Cyborg-488,theafilo

167,Ricardo Bazuso,hideandseeklogic,Head of Security,Severe Burns,31,0,141,2,15,30,0,Lance Carter,theafilo

163,Cormac Huxley,laketrash,Cargo Technician,Blunt-Force Trauma,42,0,27,0,0,0,0,Cormac Huxley,laketrash

165,Jonathan Ahmed,gaper,Medical Doctor,Suffocation,15,0,5,185,0,0,69,Jeb Hutton,wondercaz

169,Antarctica Libraria,tapiocasquid,Security Officer,Blunt-Force Trauma,197,0,11,0,0,0,0,SWArLL-E shell 314 - Standard,headlessgorilla

171,Hafnium I,thelaughingbomb,Chemist,Blunt-Force Trauma,50,0,0,0,0,0,0,Standard Cyborg-488,theafilo

178,Cormac Huxley,laketrash,Janitor,Suffocation,60,2,4,200,7,0,0,Cormac Huxley,laketrash

176,Trixy D'Meure,fleshyhuman,Quartermaster,Blunt-Force Trauma,107,0,1,96,0,0,0,SWArLL-E shell 375 - Standard,headlessgorilla

168,Trivaldi Olscupo,poppajerry,Assistant,Blunt-Force Trauma,150,0,36,38,0,0,0,Trivaldi Olscupo,poppajerry

166,Dazza Krist,cheapchrome,Chief Engineer,Blunt-Force Trauma,129,0,45,53,0,0,0,,

174,Cormac Huxley,laketrash,Captain,Blunt-Force Trauma,90,0,0,76,35,0,0,SWArLL-E shell 210 - Standard,headlessgorilla

175,Blitz 'Krieg' Schneidler,billybobbizworth,Security Officer,Blunt-Force Trauma,137,0,10,66,0,0,0,SWArLL-E shell 843 - Standard,headlessgorilla

177,Corey Fiscina,ognatharantos,"Quartermaster 
                Blood",Severe Burns,46,0,194,0,0,0,0,Corey Fiscina,ognatharantos

172,Jeb Hutton,wondercaz,Head of Personnel,Blunt-Force Trauma,50,0,0,0,0,0,0,Standard Cyborg-488,theafilo

179,Corey Fiscina,ognatharantos,"Quartermaster 
                Blood",Severe Burns,0,0,208,4,0,0,0,Trixy D'Meure,fleshyhuman

173,Corey Fiscina,ognatharantos,Lawyer,Blunt-Force Trauma,120,0,0,80,1,0,0,SWArLL-E shell 494 - Standard,headlessgorilla

182,Delilah Adams,agentdelphi,Medical Doctor,Severe Burns,0,0,197,11,7,0,0,,

180,Ashlynn Fiscina,birdty,Captain,Blunt-Force Trauma,212,0,0,5,0,0,0,Jean-Luc Rader,hthr

181,Jean-Luc Rader,hthr,Chief Engineer,Suffocation,0,0,0,200,0,0,0,Jean-Luc Rader,hthr

193,Lilly Howard,peer,Station Engineer,Blunt-Force Trauma,1,0,0,0,0,0,0,Lilly Howard,peer

lessgorilla

184,Ryan Riley,lock1000,Bartender,Suffocation,15,0,7,178,0,0,0,,

183,Yanky Stoopenstash,birdty,Clown,Blunt-Force Trauma,176,0,0,41,0,0,0,Ryan Riley,lock1000

189,Jamarion Welty,sansundertale,Assistant,Suffocation,0,0,0,200,0,0,0,,

4,0,0,57,0,0,0,Silver LXIX,thelaughingbomb

192,Henry Hice,crevette,Station Engineer,Suffocation,72,0,28,100,0,0,0,,

195,Chuck Yaeger,providence122,Bartender,Severe Burns,70,0,146,18,0,0,0,Chuck Yaeger,providence122

185,Cormac Huxley,laketrash,Atmospheric Technician,Suffocation,7,0,0,193,0,0,0,Cormac Huxley,laketrash

197,Bruce McIntyre,dqn,Shaft Miner,Blunt-Force Trauma,194,0,0,24,0,0,0,,

186,Bruce McIntyre,dqn,Shaft Miner,Blunt-Force Trauma,53,0,0,0,0,20,0,Bruce McIntyre,dqn

191,Ryan O'Riley,lock1000,Roboticist,Blunt-Force Trauma,99,26,37,76,0,0,0,Cormac Huxley,laketrash

187,Cherette Spock,lock1000,Translocated Vet,Suffocation,12,0,0,188,0,0,0,,

190,Casey Pearsall,mick1299,Chemist,Blunt-Force Trauma,126,2,0,83,0,0,0,Cormac Huxley,laketrash

198,Bob Ross,jofadda,Shaft Miner,Suffocation,106,0,0,116,0,0,0,Bob Ross,jofadda

199,Jason Daniels,lock1000,Bartender,Blunt-Force Trauma,88,0,2,52,78,0,0,Jason Daniels,lock1000

200,Milo Jowers,theinvictus,Lawyer,Blunt-Force Trauma,108,0,0,91,29,0,0,,

202,Jeb Hutton,wondercaz,Head of Personnel,Severe Burns,63,0,83,0,72,0,0,Chad Samuels,crazyaxekiller

201,Casey Pearsall,mick1299,Chemist,Blunt-Force Trauma,108,20,0,31,84,0,0,,

209,Leroy Jenkins,yellowracingcar,Shaft Miner,Suffocation,104,0,0,119,0,0,0,Supha Nigha,suphanigha

212,Ricardo Bazuso,hideandseeklogic,Chemist,Blunt-Force Trauma,133,47,0,0,52,47,0,,

204,Jason Daniels,lock1000,Bartender,Blunt-Force Trauma,135,0,0,95,0,0,0,Jason Daniels,lock1000

214,Supha Nigha,suphanigha,Detective,Severe Burns,11,4,22,0,0,0,0,Urza of Void,crazyaxekiller

213,Jeb Hutton,peer,Unassigned,Blunt-Force Trauma,129,0,0,96,0,0,0,,

205,Ayla Leichter,birdty,Chaplain,Blunt-Force Trauma,137,0,0,21,72,0,0,,

215,Chad Samuels,theinvictus,Lawyer,Blunt-Force Trauma,133,22,4,2,0,0,0,Cormac Huxley,laketrash

207,Cormac Huxley,laketrash,Captain,Poisoning,76,0,3,25,116,0,0,,

211,Leroy Jenkins,yellowracingcar,Shaft Miner,Severe Burns,0,30,137,38,0,30,0,,

208,Rei-Azum,mick1299,Ash Walker,Severe Burns,10,0,138,70,0,0,0,,

210,Ricardo Bazuso,hideandseeklogic,Chemist,Crippling Brain Damage,0,200,0,0,0,0,0,,

216,Jason Daniels,lock1000,Bartender,Severe Burns,0,0,25,0,0,0,0,,

217,Milo Jowers,wondercaz,Head of Personnel,Blunt-Force Trauma,0,0,0,0,0,0,0,Supha Nigha,suphanigha

203,Chad Samuels,crazyaxekiller,Janitor,Severe Burns,60,0,152,6,5,0,0,Chad Samuels,crazyaxekiller

206,Jason Daniels,lock1000,Bartender,Blunt-Force Trauma,114,0,99,3,20,0,0,Jason Daniels,lock1000

218,Casey Pearsall,mick1299,Shaft Miner,Blunt-Force Trauma,8,0,3,3,0,0,0,,

219,Cormac Huxley,laketrash,Captain,Blunt-Force Trauma,84,0,0,0,20,0,0,Casey Pearsall,mick1299

221,Urza of Void,crazyaxekiller,Chemist,Severe Burns,18,4,19,0,0,0,0,Supha Nigha,suphanigha

220,Antarctica Libraria,tapiocasquid,Assistant,Blunt-Force Trauma,0,0,0,0,0,0,0,Antarctica Libraria,tapiocasquid

237,Malcolm Bashline,jofadda,Beach Bum,Severe Burns,30,0,136,43,0,0,0,,

239,Sammy Mariano,sammym,Curator,Blunt-Force Trauma,119,2,0,89,0,0,0,Casey Pearsall,mick1299

234,Donovan Mcmullen,tehflamintaco,Assistant,Blunt-Force Trauma,217,0,0,0,0,0,0,,

229,Bob Ross,jofadda,Shaft Miner,Severe Burns,2,0,208,21,0,0,0,,

230,Suzan Atkinson,mariepoppo,"Atmospheric Technician 
                Blood",Poisoning,0,0,36,43,127,0,0,,

240,Duke Holloway,bigchungusfortheps4,Assistant,Severe Burns,73,0,139,9,0,0,0,,

235,Bob Ross,jofadda,Shaft Miner,Blunt-Force Trauma,245,0,0,0,0,0,0,,

241,Nush-Mach,jofadda,Ash Walker,Blunt-Force Trauma,198,0,4,44,0,0,0,,

233,Cormac Huxley,laketrash,Lawyer,Severe Burns,7,0,215,11,0,0,0,Bob Ross,jofadda

228,Bruce McIntyre,dqn,Shaft Miner,Severe Burns,20,0,210,5,0,0,0,,

236,Yanky Stoopenstash,birdty,Clown,Blunt-Force Trauma,216,0,0,0,0,0,0,Swarly Stinson,headlessgorilla

231,Elias Blackburn,lugi23,Scientist,Blunt-Force Trauma,129,0,45,52,0,0,0,,

232,Donk Pocket,mariepoppo,Clown,Severe Burns,0,0,200,0,0,0,0,Chad Samuels,crazyaxekiller

238,Jennie Newbern,jofadda,Beach Bum,Blunt-Force Trauma,250,0,0,10,0,0,0,,

242,C001,birdty,Cyborg,Blunt-Force Trauma,200,0,0,0,0,0,0,Lenny Powell,reworked

251,Ricardo Bazuso,hideandseeklogic,Chemist,Blunt-Force Trauma,10,0,0,0,1,0,0,,

250,Reagan Oneal,0x001,Chief Engineer,Severe Burns,0,0,175,45,0,0,0,Alisya Kellogg,lookingforsoap88

253,Cormac Huxley,laketrash,Cargo Technician,Blunt-Force Trauma,108,0,38,68,6,0,0,,

248,Nataly Briner,gamebars,Lawyer,Suffocation,80,6,0,120,0,0,0,Jeb Hutton,wondercaz

247,Nancy Maclagan,jofadda,Beach Bum,Severe Burns,35,0,162,22,0,0,0,,

252,Alisya Kellogg,lookingforsoap88,Medical Doctor,Severe Burns,15,2,110,87,0,0,0,Jeb Hutton,wondercaz

255,Titus Roberts,tastetherainbow12likemyage,Bartender,Blunt-Force Trauma,170,0,25,17,0,0,0,Tobias Fate,lock1000

243,Lenny Powell,reworked,Assistant,Suffocation,64,0,40,100,0,0,0,Ricardo Bazuso,hideandseeklogic

259,Travis Neely,casemister36,Cargo Technician,Blunt-Force Trauma,215,15,0,1,0,0,0,Romeo Taylor,belomor

262,Jasmine Khan,vincent112,Chemist,Blunt-Force Trauma,30,0,0,0,0,0,0,,

261,Guesspo Sanchez,godhatesweebs,Roboticist,Blunt-Force Trauma,210,18,0,1,0,0,0,Romeo Taylor,belomor

246,Milah-Eepa,mick1299,Ash Walker,Blunt-Force Trauma,230,0,0,14,0,0,0,,

260,Terrible Griefer,terqa,Medical Doctor,Blunt-Force Trauma,210,12,6,2,2,0,0,Romeo Taylor,belomor

249,Emma Osterwise,doorbelle,Cook,Severe Burns,57,0,151,8,14,0,0,Swarly Stinson,headlessgorilla

244,Emma Osterwise,doorbelle,Cook,Blunt-Force Trauma,132,0,26,58,0,0,0,Swarly Stinson,headlessgorilla

256,Titus Roberts,tastetherainbow12likemyage,Bartender,Blunt-Force Trauma,129,0,19,64,0,0,0,Tobias Fate,lock1000

257,C001,birdty,Cyborg,Blunt-Force Trauma,0,0,0,0,0,0,0,Tobias Fate,lock1000

254,Lori Camp,mick1299,Space Bartender,Poisoning,0,20,0,28,172,0,0,,

258,Titus Roberts,tastetherainbow12likemyage,Bartender,Suffocation,0,0,0,200,0,0,0,Tobias Fate,lock1000

245,Ricardo Bazuso,hideandseeklogic,Chemist,Blunt-Force Trauma,214,44,1,0,0,0,0,Alisya Kellogg,lookingforsoap88

280,Meerana-Deetsan,jofadda,Ash Walker,Blunt-Force Trauma,173,0,0,0,0,0,0,Meerana-Deetsan,jofadda

281,Bob Ross,jofadda,Shaft Miner,Blunt-Force Trauma,200,0,0,0,0,0,0,,

268,Dazza Krist,cheapchrome,Station Engineer,Suffocation,54,50,0,157,0,0,0,Swarly Stinson,headlessgorilla

277,Cormac Huxley,laketrash,Atmospheric Technician,Blunt-Force Trauma,200,0,2,9,0,0,0,,

267,Scarlett Rose,hogrider76,Cook,Blunt-Force Trauma,180,4,57,1,0,0,0,Alisya Kellogg,lookingforsoap88

271,Corey Fiscina,ognatharantos,Quartermaster,Poisoning,2,0,14,4,186,0,0,,

